,brewery_type,city,country,id,latitude,longitude,name,phone,postal_code,state,street,tag_list,updated_at,website_url
61,regional,Lakeland,United States,1834,,,"Brew Hub, LLC",8636987600,33815-3205,Florida,3900 Frontage Rd S,[],2018-08-11T21:36:51.831Z,http://www.brewhub.com
62,brewpub,Saint Petersburg,United States,1836,,,Brewers Tasting Room,7278733900,33716-2937,Florida,11270 4th St N Ste 202,[],2018-08-11T21:36:51.896Z,http://www.brewerstastingroom.com
69,large,Jacksonville,United States,1801,30.4319552,-81.6481156,Anheuser-Busch Inc â Jacksonville,9047510700,32218-5546,Florida,111 Busch Dr,[],2018-08-24T00:26:28.960Z,
70,micro,Ormond Beach,United States,1812,29.326634,-81.057048,Beachside Brew Pub,3868465143,32176-3630,Florida,1368 Ocean Shore Blvd,[],2018-08-24T00:26:32.168Z,http://www.beachsidebrewpub.com
71,brewpub,Coral Springs,United States,1814,26.2992083,-80.2505088,Big Bear Brewing Co,9543415545,33071-6031,Florida,1800 N University Dr,[],2018-08-24T00:26:32.864Z,http://www.bigbearbrewingco.com
72,micro,Cape Coral,United States,1817,26.5609342,-81.9557454,Big Storm Brewing,,33904-9046,Florida,839 Miramar St,[],2018-08-24T00:26:34.847Z,
73,micro,Odessa,United States,1818,28.1919217801414,-82.6261876198197,Big Storm Brewing,7273762890,33556,Florida,2330 Success Dr,[],2018-08-24T00:26:35.417Z,
74,micro,Saint Augustine,United States,1824,29.8908994,-81.3267969,Bog Brewing Company,9046793146,32084-4144,Florida,218 W King St,[],2018-08-24T00:26:38.128Z,http://www.bogbrewery.com
75,micro,Jacksonville,United States,1825,30.326002,-81.656519,Bold City Brewery,9045037682,32202-3414,Florida,109 E Bay St,[],2018-08-24T00:26:38.643Z,http://www.boldcitybrewery.com
76,micro,Key West,United States,1828,24.5614170685523,-81.7965146398266,Bone Island Brewing,3053043472,33040-6926,Florida,1111 Eaton St,[],2018-08-24T00:26:40.244Z,http://www.boneislandbrewing.com
77,micro,Miami,United States,1829,25.8414586990821,-80.1894101699335,Bousa Brewing Company,3053635166,33138-5315,Florida,7235 NE 4th Ave,[],2018-08-24T00:26:40.943Z,http://www.bousabrewing.com
78,brewpub,Milton,United States,1832,30.621944,-87.038565,Brew Angels LLC,8505640034,32570-2206,Florida,6821 Caroline St,[],2018-08-24T00:26:42.194Z,
79,brewpub,Tampa,United States,1833,27.9826232,-82.4586495,Brew Bus Brewing,8139907310,33603-3817,Florida,4101 N Florida Ave,[],2018-08-24T00:26:42.985Z,http://www.brewbususa.com
80,brewpub,Auburndale,United States,1847,,,Brewpop Brewery,8636623864,33823-3962,Florida,2122 US Highway 92 W,[],2018-08-11T21:36:52.217Z,http://www.brewpop.com
82,micro,Orlando,United States,1849,,,Broken Cauldron Taproom and Brewery,4079861012,32805-2216,Florida,1012 W Church St,[],2018-08-11T21:36:52.289Z,http://www.brokencauldrontaproom.com
85,brewpub,Merritt Island,United States,1852,,,Bugnutty Brewing Company,3214524460,32953-4651,Florida,715 N Courtenay Pkwy,[],2018-08-11T21:36:52.373Z,http://www.bugnutty.com
86,micro,Fort Myers,United States,1854,,,Bury Me Brewing Company,2393322337,33901-9051,Florida,4224 Cleveland Ave Ste 7,[],2018-08-11T21:36:52.425Z,http://www.burymebrewing.com
88,micro,Debary,United States,1861,,,Central 28 Beer Company,3866682811,32713-4848,Florida,290 Springview Commerce Dr Ste 1,[],2018-08-11T21:36:52.605Z,http://www.central28beer.com
91,brewpub,Melbourne,United States,1865,,,Charlie and Jakes Brewery and Grille,3217527675,32940-2037,Florida,6300 N Wickham Rd Ste 137,[],2018-08-11T21:36:52.694Z,http://www.cjbrewery.com
97,micro,Orlando,United States,1891,,,Dead Lizard Brewing Company,4077108949,32811-6520,Florida,4507 36th St Ste C,[],2018-08-11T21:36:53.475Z,http://www.deadlizardbrewing.com
98,micro,Winter Park,United States,1892,,,Deadly Sins Brewing,4079008726,32789-4673,Florida,750 Jackson Ave Ste 102,[],2018-08-11T21:36:53.505Z,http://www.deadlysinsbrewing.com
99,micro,Tallahassee,United States,1893,,,Deep Brewing Company,8505701478,32308-4248,Florida,2524 Cathay Ct STE 2,[],2018-08-11T21:36:53.534Z,http://www.deepbrewing.com
101,micro,Destin,United States,1896,,,Destin Brewery,,32541-7334,Florida,505 Mountain Dr Ste N,[],2018-08-11T21:36:53.619Z,http://www.destinbrewery.com
102,brewpub,Fernandina Beach,United States,1855,30.6716253000455,-81.4630029055046,Cafe Karibo,9042775269,32034-4111,Florida,27 N 3rd St,[],2018-08-24T00:26:47.908Z,http://www.cafekaribo.com
103,micro,Saint Petersburg,United States,1856,27.770292,-82.660409,Cage Brewing,7272014278,33712-1201,Florida,2001 1st Ave S,[],2018-08-24T00:26:48.633Z,
104,regional,Tampa,United States,1867,27.959172,-82.509195,Cigar City Brewing Co,8133486363,33607-2441,Florida,3924 W Spruce St,[],2018-08-24T00:26:51.916Z,http://www.cigarcitybrewing.com
105,micro,Miami,United States,1872,25.800254,-80.2009170923563,Concrete Beach Brewery,3057962727,33127-4325,Florida,325 NW 24th St,[],2018-08-24T00:26:53.817Z,http://www.concretebeachbrewery.com/
106,micro,Crystal River,United States,1873,28.8947262591425,-82.5873807162491,Copp Brewery & Winery,3525649463,34429-4246,Florida,11 NE 4th Ave,[],2018-08-24T00:26:54.453Z,http://www.coppbrewery.com
107,micro,Boynton Beach,United States,1874,26.5590774285714,-80.073376,Copperpoint Brewing Company,,33426-9365,Florida,151 Commerce Rd,[],2018-08-24T00:26:55.081Z,
108,micro,Tampa,United States,1875,27.956553,-82.430498,Coppertail Brewing,8132471500,33605-5503,Florida,2601 E 2nd Ave,[],2018-08-24T00:26:55.632Z,http://www.coppertailbrewing.com
109,micro,Land O Lakes,United States,1877,28.1961455195403,-82.4647787316792,Craft Life Brewing,8135758440,34639-4910,Florida,2624 Land O Lakes Blvd,[],2018-08-24T00:26:56.207Z,
110,micro,Winter Garden,United States,1878,28.5639024,-81.590376,Crooked Can Brewing Co,,34787-3014,Florida,426 W Plant St,[],2018-08-24T00:26:56.677Z,http://www.crookedcan.com
111,micro,Macclenny,United States,1879,30.2707152,-82.1223325,Crooked Rooster Brewery LLC.,9046532337,32063,Florida,1478 S 6th St,[],2018-08-24T00:26:57.261Z,http://www.crookedroosterbrews.com
112,micro,Safety Harbor,United States,1880,27.9874212,-82.6986687,Crooked Thumb Brewery,7277245953,34695-3821,Florida,555 10th Ave S,[],2018-08-24T00:26:57.864Z,http://www.crookedthumbbrew.com
113,micro,Dunedin,United States,1881,28.0144036833562,-82.7892842320147,Cueni Brewing Co.,7272664102,34698-5722,Florida,945 Huntley Ave,[],2018-08-24T00:26:58.530Z,http://www.cuenibrewing.com
114,micro,St Petersburg,United States,1882,27.7709069,-82.6409282,Cycle Brewing,7273207954,33701-3704,Florida,534 Central Ave,[],2018-08-24T00:26:59.053Z,http://www.cyclebrewing.com
115,micro,Gainesville,United States,1884,29.661257,-82.328751,Cypress and Grove Brewing Company,6419900950,32601-4256,Florida,1001 NW 4th Street,[],2018-08-24T00:27:00.236Z,http://www.cypressandgrove.com
116,regional,Tampa,United States,1885,28.0476797755102,-82.4260891836735,D. G. Yuengling and Son Inc,8139728552,33612-6439,Florida,11111 N 30th St,[],2018-08-24T00:27:00.943Z,http://www.yuengling.com
117,micro,Bradenton,United States,1888,27.4843298838169,-82.5704045764443,Darwin Brewing Co,9417471970,34205-7608,Florida,803 17th Ave W,[],2018-08-24T00:27:01.484Z,http://www.darwinbrewingco.com
118,micro,Palm Harbor,United States,1890,28.07847685,-82.767616779504,De Bine Brewing Company,7272337964,34683-4224,Florida,993 Florida Ave,[],2018-08-24T00:27:02.918Z,http://www.debinebrewingco.com
119,contract,Hollywood,United States,1895,26.0261832406292,-80.1683619916553,Department Coffee,3235382955,33021-4401,Florida,1940 N 30th Rd,[],2018-08-24T00:27:05.002Z,http://www.depatmentcoffee.com
120,micro,Sanford,United States,1897,,,Deviant Wolfe Brewing,4078786239,32771-1201,Florida,121 W 1st St,[],2018-08-11T21:36:53.652Z,http://www.facebook.com/DeviantWolfeBrewing
121,micro,Boynton Beach,United States,1898,,,Devour Brewing Co,5618066011,33426-9044,Florida,1500 SW 30th Ave Ste 4,[],2018-08-11T21:36:53.685Z,http://www.devourbrewing.com
122,micro,Boynton Beach,United States,1903,,,Due South Brewing Co,5614632337,33426-8708,Florida,2900 High Ridge Rd Ste 3,[],2018-08-11T21:36:53.848Z,http://www.duesouthales.com
124,micro,Orlando,United States,1906,,,Ellipsis Brewing,4072505848,32822-5181,Florida,7500 Tpc Blvd Ste 8,[],2018-08-11T21:36:53.948Z,
125,micro,Jacksonville,United States,1907,,,Engine 15 Brewing Company,9045519429,32204-1319,Florida,633 N Myrtle Ave,[],2018-08-11T21:36:53.988Z,http://www.engine15.com
126,contract,Naples,United States,1910,,,"Fantasy Brewmasters, LLC",2392063247,34116-4909,Florida,5825 Dogwood Way,[],2018-08-11T21:36:54.076Z,
127,micro,Punta Gorda,United States,1911,,,Fat Point Brewing,8003807405,33950-4115,Florida,611 Charlotte St,[],2018-08-11T21:36:54.102Z,http://www.fatpoint.com
128,micro,Islamorada,United States,1916,,,Florida Keys Brewing Co.,,33036,Florida,,[],2018-08-11T21:36:54.302Z,http://www.floridakeysbrewingco.com
129,micro,Apollo Beach,United States,1920,,,Four Stacks Brewing,8136412036,33572-3505,Florida,5469 N US Highway 41,[],2018-08-11T21:36:54.454Z,http://fourstacksbrewing.com
130,large,Oakland Park,United States,1921,,,Funky Buddha Brewery,9544400046,33334-4504,Florida,1201 NE 38th St Ste A1 Bay A1,[],2018-08-11T21:36:54.482Z,http://www.thefunkybuddha.com
131,brewpub,Pensacola,United States,1923,,,Goat Lips Chew and Brewhouse / Redneck Riviera Brewing,8504741919,32514-7606,Florida,2811 Copter Rd,[],2018-08-11T21:36:54.537Z,http://www.goatlips.com
132,micro,Tallahassee,United States,1925,,,Grasslands Brewing Co,8507653014,32304-4447,Florida,603 W Gaines St Ste 7,[],2018-08-11T21:36:54.601Z,http://www.grasslandsbrewery.com
133,contract,Miami Beach,United States,1926,,,Gravity Brewlab,7865367085,33139-3301,Florida,1521 Alton Rd # 591,[],2018-08-11T21:36:54.628Z,http://www.Gravity.beer
134,micro,Santa Rosa Beach,United States,1928,,,Grayton Beer Company,8502314786,32459-6099,Florida,217 Serenoa Rd,[],2018-08-11T21:36:54.688Z,http://www.graytonbeer.com
136,micro,New Smyrna Beach,United States,1937,,,Half Wall Brewery,3864268410,32168,Florida,1887 SR 44,[],2018-08-11T21:36:54.957Z,http://www.halfwallbrewery.com
137,brewpub,West Palm Beach,United States,1901,26.667349,-80.055437,Dixie Grill & Brewery,5615863189,33405,Florida,5101 South Dixie Highway,[],2018-08-24T00:27:08.626Z,
138,micro,Saint Augustine,United States,1902,29.8894814642857,-81.3130666785714,Dog Rose Brewing Company,9042173355,32084-4335,Florida,77 Bridge St,[],2018-08-24T00:27:09.144Z,http://www.dogrosebrewing.com
139,brewpub,Dunedin,United States,1904,28.0141823132337,-82.7878256086413,Dunedin Brewery & Public House,7277360606,34698-4945,Florida,937 Douglas Ave,[],2018-08-24T00:27:10.240Z,http://www.dunedinbrewery.com
140,brewpub,Jacksonville Beach,United States,1908,30.2882669,-81.3923194,Engine 15 Brewing Company,9042492337,32250-2624,Florida,1500 Beach Blvd Ste 217,[],2018-08-24T00:27:11.957Z,http://www.engine15.com
141,micro,Trinity,United States,1909,28.1803657472859,-82.6528439122286,Escape Brewing Company,7276393820,34655-4552,Florida,9945 Trinity Blvd Ste 108,[],2018-08-24T00:27:12.595Z,http://www.escapebrewingcompany.com
142,micro,Gainesville,United States,1913,29.6398302153528,-82.3242990762445,First Magnitude Brewing Company,3527274677,32601-7917,Florida,1220 SE Veitch St,[],2018-08-24T00:27:14.148Z,http://www.fmbrewing.com
143,brewpub,Panama City Beach,United States,1914,30.1823237,-85.7855375,Fishale Taphouse and Grill,8506401410,32407-4813,Florida,7715 Front Beach Rd,[],2018-08-24T00:27:14.794Z,
144,regional,Cape Canaveral,United States,1915,28.398461,-80.611259,Florida Beer Co,3217284114,32920-4245,Florida,200 Imperial Blvd,[],2018-08-24T00:27:15.369Z,http://www.floridabeer.com
145,micro,St Petersburg,United States,1917,27.7828457080974,-82.657199693093,Flying Boat Brewing Company,7278002999,33713-5747,Florida,1776 11th Ave N,[],2018-08-24T00:27:16.044Z,http://www.flyingboatbrewing.com
146,micro,Fort Myers,United States,1919,26.5611037,-81.7619411,Fort Myers Brewing,9162343332,33913-8649,Florida,12811 Commerce Lakes Dr Ste 28,[],2018-08-24T00:27:17.117Z,
147,large,Boca Raton,United States,1922,26.3640441,-80.0805397,Funky Buddha Lounge & Brewery,5613684643,33431-7785,Florida,2621 N Federal Hwy,[],2018-08-24T00:27:19.084Z,http://www.thefunkybuddha.com
148,micro,Bradenton,United States,1924,27.470805,-82.575274,Good Liquid Brewing Company,9418966381,34207-2017,Florida,4824 14th St W,[],2018-08-24T00:27:20.213Z,http://www.thegoodliquidbrewing.com
149,micro,Saint Petersburg,United States,1930,27.7717121,-82.65067185,Green Bench Brewing Co,7278007836,33705-1555,Florida,1133 Baum Ave N,[],2018-08-24T00:27:23.376Z,http://www.greenbenchbrewing.com
150,micro,Jacksonville Beach,United States,1931,30.2903347142857,-81.3923014285714,Green Room Brewing,9042019283,32250-6935,Florida,228 3rd St N,[],2018-08-24T00:27:23.917Z,http://www.greenroombrewing.com
151,micro,Winter Haven,United States,1933,28.0197724736842,-81.7304932631579,Grove Roots Brewing,8632910700,33880-3409,Florida,302 3rd St SW,[],2018-08-24T00:27:24.969Z,http://www.groveroots.com
152,micro,Pensacola,United States,1934,30.4179910292336,-87.2055227418521,Gulf Coast Brewery LLC,8506962335,32502-4145,Florida,500 E Heinberg St,[],2018-08-24T00:27:25.568Z,http://www.gulfcoastbrewery.net
153,brewpub,Orlando,United States,1936,28.4344107302959,-81.4660672217048,Half Barrel Beer Project,4072033946,32819-9383,Florida,9650 Universal Blvd Ste 143,[],2018-08-24T00:27:26.226Z,http://www.halfbarrelproject.com
154,micro,Lake City,United States,1938,30.1905038833906,-82.6365459447881,Halpatter Brewing Company,3864388788,32055-4012,Florida,264 NE Hernando Ave,[],2018-08-24T00:27:27.299Z,http://www.halpatterbrewing.com
155,micro,Melbourne,United States,1939,28.0783524492751,-80.6045506735687,Hell 'n Blazes Brewing Company,3218214052,32901-5437,Florida,1002 E New Haven Ave,[],2018-08-24T00:27:27.883Z,http://www.HellnBlazesBrewing.com
156,micro,Tampa,United States,1940,27.9587823061224,-82.4600853673469,Hidden Springs Ale Works,8132262739,33602-2621,Florida,1631 N Franklin St,[],2018-08-24T00:27:28.505Z,http://www.Hiddenspringsaleworks.com
157,brewpub,Hollywood,United States,1942,,,Hollywood Brewing Co,9546749674,33019-1787,Florida,290 N Broadwalk,[],2018-08-11T21:36:55.125Z,http://www.hollywood.beer
158,micro,Pompano Beach,United States,1943,,,Holy Mackerel Small Batch Beers,9545320196,33069-5937,Florida,3260 NW 23rd Ave Ste 400E,[],2018-08-11T21:36:55.157Z,http://www.holymackerelbeers.com
159,micro,Jacksonville,United States,1946,,,Hyperion Brewing,9045185131,32206-4404,Florida,1740 N Main St,[],2018-08-11T21:36:55.238Z,http://www.hyperionbrewing.com
160,micro,Fort Pierce,United States,1947,,,IBC Brewery & Tasting Room,3055089093,34946-6761,Florida,3200 St Lucie Blvd,[],2018-08-11T21:36:55.275Z,
161,micro,Santa Rosa Beach,United States,1948,,,Idyll Hounds Brewing Company,,32459-5019,Florida,845 Serenoa Rd,[],2018-08-11T21:36:55.324Z,
162,micro,New Port Richey,United States,1951,,,Infusion Brewing Company of Trinity,7273124512,34655-4723,Florida,7813 Mitchell Blvd,[],2018-08-11T21:36:55.410Z,
163,micro,Lakeland,United States,1960,,,Island Coastal Lager,8636987600,33815,Florida,3900 Frontage Rd S,[],2018-08-11T21:36:55.685Z,http://www.islandcoastallager.com
165,micro,Fort Lauderdale,United States,1965,,,Khoffner Brewery LTD,7547018860,33304,Florida,1110 NE 8th Avenue Bay #1,[],2018-08-11T21:36:55.823Z,http://www.khoffner.us
167,micro,Fort Lauderdale,United States,1969,,,LauderAle,9546539711,33316-4212,Florida,3305 SE 14th Ave Bldg 4,[],2018-08-11T21:36:55.940Z,http://www.lauderale.co
170,micro,West Melbourne,United States,1975,,,Lost Shirt Brewing Company,13214994323,32904-1616,Florida,7025 Industrial Rd Unit B,[],2018-08-11T21:36:56.136Z,http://lostshirtbrewingco@gmail.com
171,micro,Doral,United States,1976,,,M.I.A. Beer Co,3055675550,33172-5902,Florida,10400 NW 33rd St Ste 150,[],2018-08-11T21:36:56.163Z,http://www.mia.beer
172,micro,Jacksonville,United States,1978,,,Main & Six Brewing Company,9046730144,32206-4402,Florida,1636 N Main St,[],2018-08-11T21:36:56.244Z,
173,brewpub,Destin,United States,1983,,,McGuire's Irish Pub and Brewery - Destin,8506540567,32541-2309,Florida,33 Highway 98 E,[],2018-08-11T21:36:56.474Z,http://www.mcguiresirishpub.com
174,brewpub,Homestead,United States,1985,,,Miami Brewing Co,3052421224,33030-7601,Florida,30205 SW 217th Ave,[],2018-08-11T21:36:56.556Z,http://www.miamibrewing.org
175,micro,Port Saint Lucie,United States,1944,27.3298822995776,-80.4086500079585,HopLife Brewing Company,7725280037,34986-2253,Florida,679 NW Enterprise Dr,[],2018-08-24T00:27:30.258Z,
176,micro,Land O Lakes,United States,1949,28.2053085760618,-82.4627979884398,In the Loop Brewing,8139979189,34639-4408,Florida,3338 Land O Lakes Blvd,[],2018-08-24T00:27:33.251Z,http://www.intheloopbrewingcompany.com
177,micro,Ocala,United States,1950,29.1244956,-82.1362315,Infinite Ale Works,3525726083,34471-1158,Florida,304 S Magnolia Ave,[],2018-08-24T00:27:33.901Z,http://InfiniteAleWorks.com
178,micro,Sanford,United States,1953,28.810888,-81.270294,Inner Compass Brewing,4074071792,32771-1312,Florida,300 E 2nd St,[],2018-08-24T00:27:36.018Z,http://www.innercompassbrewing.com
179,micro,Spring Hill,United States,1954,28.6060793,-82.551896,Inoculum Ale Works,,34606,Florida,1320 Commercial Way,[],2018-08-24T00:27:36.698Z,http://www.inoculumaleworks.com
180,micro,Melbourne,United States,1955,28.1206522,-80.7039168,Intracoastal Brewing Co.,3218727395,32935-6509,Florida,652 W Eau Gallie Blvd,[],2018-08-24T00:27:37.404Z,http://www.intracoastalbrewingcompany.com
181,micro,Jacksonville,United States,1956,30.3233619166667,-81.6449079166667,Intuition Ale Works,9046837720,32202-2307,Florida,929 E Bay St,[],2018-08-24T00:27:37.864Z,http://www.intuitionaleworks.com
182,micro,Jacksonville,United States,1957,30.3179953809524,-81.6970237142857,Intuition Ale Works Production Facility,,32204-3440,Florida,720 King St,[],2018-08-24T00:27:38.375Z,
183,micro,Fort Lauderdale,United States,1958,26.1298369,-80.1418016,Invasive Species Brewing,7546662687,33304-2616,Florida,726 NE 2nd Ave,[],2018-08-24T00:27:38.952Z,http://www.invasivespeciesbrewing.com
184,micro,Islamorada,United States,1959,24.9552722,-80.5805987,Islamorada Beer Company,3055089093,33036-3659,Florida,82229 Overseas Hwy,[],2018-08-24T00:27:39.497Z,http://www.islamoradabeerco.com
185,micro,Orlando,United States,1961,28.5631918,-81.3718448,Ivanhoe Park Brewing Company,7144254756,32803-1822,Florida,1300 Alden Rd,[],2018-08-24T00:27:40.848Z,http://www.IvanhoeParkBrewing.com
186,micro,Miami,United States,1962,25.7995437,-80.1975286711708,J Wakefield Brewing,7862547779,33127-4414,Florida,120 NW 24th St,[],2018-08-24T00:27:41.517Z,http://www.jwakefieldbrewing.com
187,micro,Sarasota,United States,1963,27.3487779832697,-82.5252582277781,JDub's Brewing Co.,9419552739,34237-2816,Florida,1215 Mango Ave,[],2018-08-24T00:27:42.040Z,http://www.jdubsbrewing.com
188,micro,Riverview,United States,1970,27.8538137055448,-82.3141746682522,Leaven Brewing Co.,8136777023,33569-8009,Florida,11238 Boyette Rd,[],2018-08-24T00:27:44.934Z,http://www.leavenbrewing.com
189,micro,Miami,United States,1973,25.732096,-80.3143531,Lincoln's Beard Brewing Co.,3059127390,33155-4504,Florida,7360 SW 41st St,[],2018-08-24T00:27:45.984Z,http://lincolnsbeardbrewing.com/
190,micro,Madeira Beach,United States,1977,27.7865945,-82.7835534,Mad Beach Brewing,7273620008,33708-2656,Florida,12945 Village Blvd,[],2018-08-24T00:27:47.774Z,http://www.madbeachbrewing.com
191,micro,Brooksville,United States,1979,28.5396995,-82.4012824,Marker 48 Brewing LLC,3526062509,34613-5551,Florida,12147 Cortez Blvd,[],2018-08-24T00:27:48.960Z,http://www.marker48.com
192,micro,St Pete Beach,United States,1981,27.74434,-82.751357,Mastry's Brewing Co,7272028045,33706-1726,Florida,7701 Blind Pass Rd,[],2018-08-24T00:27:50.066Z,http://www.mastrysbrewingco.com
193,micro,Lake Worth,United States,1982,26.6136144,-80.0581924507341,Mathews Brewing Company,5618123738,33460-4431,Florida,130 S H St,[],2018-08-24T00:27:50.588Z,http://www.mathewsbrewingcompany.com
194,brewpub,Pensacola,United States,1984,30.4180618,-87.2024655,McGuire's Irish Pub and Brewery - Pensacola,8504336789,32502-4153,Florida,600 E Gregory St,[],2018-08-24T00:27:51.641Z,http://www.mcguiresirishpub.com
195,micro,Fort Myers,United States,1986,26.6429182,-81.8643460982227,Millennial Brewing Company,2392712255,33901-3023,Florida,1811 Royal Palm Ave,[],2018-08-24T00:27:52.716Z,http://www.millennialbrewing.com
197,micro,Bonita Springs,United States,1988,,,Momentum Brewhouse,2399499945,34135-4666,Florida,9786 Bonita Beach Rd SE Ste 1,[],2018-08-11T21:36:56.643Z,http://www.momentumbrewhouse.com
198,micro,Mount Dora,United States,1990,,,Mount Dora Brewing Co,3527351111,32757-6101,Florida,405 S Highland St,[],2018-08-11T21:36:56.702Z,http://www.mountdorabrewing.com
199,micro,Naples,United States,1992,,,Naples Beach Brewery,2393048795,34104-7084,Florida,4110 Enterprise Ave Ste 217,[],2018-08-11T21:36:56.756Z,http://www.naplesbeachbrewery.com
200,micro,Panama City Beach,United States,1997,,,Nivol Brewing,8502491150,32407-3647,Florida,483 N Richard Jackson Blvd,[],2018-08-11T21:36:56.898Z,http://www.nivolbrewery.com
201,micro,Boynton Beach,United States,1998,,,NOBO Brewing Company,5613201522,33426-8728,Florida,2901 Commerce Park Dr,[],2018-08-11T21:36:56.928Z,http://www.nobobrewing.com
202,micro,Saint Augustine,United States,2001,,,Old Coast Ales,9045018575,32080-4759,Florida,300 Anastasia Blvd Ste C,[],2018-08-11T21:36:57.092Z,http://www.oldcoastales.com
203,micro,Fort Myers,United States,2002,,,Old Soul Brewing,2393344334,33907-2315,Florida,10970 S Cleveland Ave Ste 402,[],2018-08-11T21:36:57.133Z,http://www.oldsoulbrewcompany.com
204,proprietor,Orlando,United States,2005,,,Orange Blossom Brewing Company,4077540045,32806-4439,Florida,44 W Illiana St Ste 102,[],2018-08-11T21:36:57.233Z,http://www.orangeblossombrewing.com
205,brewpub,Orlando,United States,2006,,,Orange County Brewers,3864538936,32801-2385,Florida,131 N Orange Ave Ste 106,[],2018-08-11T21:36:57.265Z,http://www.theocbrewers.com
206,micro,Vero Beach,United States,2007,,,Orchid Island Brewery,7722052436,32963-2038,Florida,2855 Ocean Dr Ste C1,[],2018-08-11T21:36:57.298Z,http://www.orchidislandbrewery.com
207,micro,Ormond Beach,United States,2009,,,Ormond Brewing,3862563904,32174-8812,Florida,301 Division Ave Unit 15,[],2018-08-11T21:36:57.361Z,http://www.ormondbrewing.com
209,micro,Clearwater,United States,2013,,,Pair O' Dice Brewing Company,7277553423,33762-4433,Florida,4400 118th Ave N Ste 208,[],2018-08-11T21:36:57.481Z,http://www.pairodicebrewing.com
210,micro,Fort Myers,United States,2014,,,Palm City Brewing,2393622862,33967-6083,Florida,7887 Drew Cir Ste 130,[],2018-08-11T21:36:57.511Z,
211,micro,Pensacola,United States,2017,,,Pensacola Bay Brewery,8504343353,32502-6048,Florida,225 E Zaragoza St,[],2018-08-11T21:36:57.614Z,http://www.pbbrew.com
212,brewpub,Orange Park,United States,2022,,,Pinglehead Brewery / Brewer's Pizza,9042765159,32073-2232,Florida,14B  Blanding Blvd Ste B,[],2018-08-11T21:36:57.806Z,http://www.brewerspizza.com
213,micro,Titusville,United States,2024,,,Playalinda Brewing Company,3212258978,32796-3539,Florida,305 S Washington Ave,[],2018-08-11T21:36:57.838Z,http://www.playalindabrewingcompany.com
214,micro,Fort Myers,United States,2026,,,Point Ybel Brewing Company,2396036535,33908-3294,Florida,16120 San Carlos Blvd Ste 4,[],2018-08-11T21:36:57.902Z,http://www.pointybelbrew.com
215,brewpub,Fort Walton Beach,United States,2028,,,Props Brewery and Grill,8505867117,32548,Florida,125 Lovejoy Rd,[],2018-08-11T21:36:57.959Z,http://www.propsbrewery.com
216,brewpub,Tampa,United States,1991,28.0823729310345,-82.4138298965517,Mr Dunderbaks Biergarten and Brewery / Dunderbrau Brewing,8139774104,33613-2860,Florida,14929 Bruce B Downs Blvd,[],2018-08-24T00:27:54.825Z,http://www.dunderbaks.ieasysite.com
217,micro,Crystal River,United States,1993,28.8991795698048,-82.5931783969222,Nature Coast Brewing Company,3527950956,34428-4017,Florida,564 N Citrus Ave,[],2018-08-24T00:27:55.993Z,http://www.naturecoastbrewingco.com
218,micro,Bradenton,United States,1994,27.4519957,-82.4324118,Naughty Monk Brewery L.L.C.,9417082966,34211-4949,Florida,2507 Lakewood Ranch Blvd,[],2018-08-24T00:27:56.495Z,http://www.naughtymonkbrewery.com
219,micro,New Smyrna Beach,United States,1995,29.02541495,-80.9223638359946,New Smyrna Beach Brewing Co,3869573802,32168-7067,Florida,143 Canal St,[],2018-08-24T00:27:57.040Z,http://www.newsmyrnabrewing.com
220,micro,Miami,United States,1996,25.7800687040816,-80.2213134285714,NightLife Brewing Co,7867872337,33125,Florida,1588 Nw 7th St,[],2018-08-24T00:27:57.768Z,http://www.nightlifebrewingco.com
221,micro,Orlando,United States,1999,28.5243367,-81.3249533,Ocean Sun Brewing,4077455551,32806-3376,Florida,3030 Curry Ford Road,[],2018-08-24T00:27:59.481Z,
222,micro,Tallahassee,United States,2003,30.456465167236,-84.2815823956569,Ology Brewing Co,8505662463,32303,Florida,118 E 6th Ave,[],2018-08-24T00:28:02.153Z,http://www.ologybrewing.com
223,micro,Orlando,United States,2008,28.5269182574091,-81.3830449947888,"Orlando Brewing Partners, Inc.",4078721117,32806-3908,Florida,1301 Atlanta Ave,[],2018-08-24T00:28:04.756Z,http://www.orlandobrewing.com
224,micro,Saint Petersburg,United States,2010,27.7719674285714,-82.644494,Overflow Brewing Company,,33701,Florida,770 1st Ave N,[],2018-08-24T00:28:05.892Z,http://www.overflowbrewingco.com
225,micro,Apalachicola,United States,2012,29.7259561983391,-84.9850438892128,Oyster City Brewing Company,,32320-1801,Florida,17 Avenue D,[],2018-08-24T00:28:06.415Z,http://www.oystercitybrewingco.com
226,brewpub,Sebastian,United States,2016,27.810845559901,-80.4664565859044,Pareidolia Brewing Co.,7725840331,32958-4178,Florida,712 Cleveland St,[],2018-08-24T00:28:08.520Z,http://www.pareidoliabeer.com
227,micro,Pensacola,United States,2018,30.4132165,-87.214831,Perfect Plain Brewing Co.,,32502-5604,Florida,50 E Garden St,[],2018-08-24T00:28:09.566Z,http://www.perfectplain.com
228,micro,Deland,United States,2019,29.0272682190265,-81.3037205782236,Persimmon Hollow Brewing,3868737350,32720-5406,Florida,111 W Georgia Ave,[],2018-08-24T00:28:10.116Z,http://www.persimmonhollowbrewing.com
