description,names,links
"Peach, nectarine, lychee, apricot, and fairly sour and tart, but not much funk. Neutral aromas of oak and tannin with a bready, malty mouth-coating finish. There are hints of lemon oil, lightly floral, and a dry, crisp finish where the sour builds with each sip.",Nachez Brewing Cronyism,/review/cronyism
"Pleasant nutty malt sweetness up front that gives it a slightly chewy character. The fruit combination is well-done, adding complexity and sweetness without being overly tart or cloying. Very pleasant finish, lingering fruity tartness, hints of oak and pepper spice, with a nutty almond character.”",Dogfish Head America the Brettiful,/review/america-the-brettiful
"Quite acidic, sour, and tart. Peach, green apple, pear. Minimal funk. Wine-like dryness. Vanilla/caramel oak that is a bit astringent/woody. The wild flavors are fun and complex, and the dryness on the finish really enhances the fruit and builds on the peach aftertaste.",Cascade Brewing Kentucky Peach,/review/kentucky-peach
"Super-sweet pastry beer, indeed. Nice malt sweetness, all caramel and toasted toffee. Cocoa is there, and the nuts. Some woodiness. Noticeable bourbon heat. Borderline too sweet/cloying.",Bottle Logic  Staff of Asir,/review/staff-of-asir
"Dark fruits, coffee, and chai dominate. Moderately strong sweetness leads into moderately strong bitterness that slowly fades. A fair amount of alcohol warmth helps to balance. Barrel character comes through nicely in the aftertaste. Complexity from the brandy, some light wood character with vanilla.”",Beachwood BA System of a Stout ,/review/ba-system-of-a-stout
"Funky malty sweetness that fades to a slightly tart/sour note. Tart fruit notes of pear, apple, and citrus. Malty sweet finish that becomes dryer and nuttier as it lingers in the mouth. Slight neutral oak flavors that become more prominent as it warms. Finish is slightly tannic, which dries and cleans up the swallow in place of hops character.",Amalgam Premiere Goat,/review/premiere-goat
"Ripe peach, grape skin. Sour character is really nice; it’s not overpowering and is very soft on the finish, leaving a lingering fruity, pepper quality. Tannins on the finish add a perception of bitterness and balance, though it’s a wee bit heavy on the overall impression.",SweetWater Woodlands Chattahoochee Release #4,/review/woodlands-chattahoochee-release-4
"Complex tropical fruity tartness, though not overpowering. The salt on the finish adds a nice mineral softness and cuts the puckering quality of the sourness. Not much in the way of barrel character, but maybe a slight tannic dryness at the end.",Speciation Artisan Ales Saltation,/review/saltation
"Candy-like sweet and tart raspberry with very subtle tart cherry flavors. Noticeable sourness, but not super acidic. Slight neutral oak flavors. Tartness and sourness are accentuated by the carbonic bite in the finish. Finishes quite tart and dry with an almond flavor.”",Side Project Pulling Nails Blend #8,/review/pulling-nails-blend-8
"Cherry caramel sweetness up front with a soft, rounded tartness on the finish. More apple-sour than puckering sour cherry. Lingering umami chewiness on the finish. Some slight vanilla notes.",Oud Beersel Bzart Krieken lambiek,/review/bzart-krieken-lambiek
"Not particularly noticeable as blackberry, but a red-fruit party—especially raspberry and cranberry. A pleasant fruit punch–like character. A slight astringent husky dryness is accentuated by the oak-barrel character. Finish is dry and tart, lingering with fruit and tannins.",High Branch Poke (Blackberry),/review/poke-blackberry
"Fruitcake-like, nuts, dried cherries, dates, almonds, raisin, caramel, peanut brittle. Wood is well-played but doesn’t upstage the fruity malt profile. Low earthy hops flavor. The finish is like malted milk balls and lightly toasted bread topped with molasses.",Four Saints  Délicieux,/review/delicieux
"A balance of beer and wood. Both sides hit at once: roast malt meets wood char, sweet caramel meets oaky vanilla. A bit boozy and hot, with slight tobacco, a touch of smoke that turns to umami. The heat lingers into the aftertaste.”",Dogfish Head Barrel-aged Palo Santo Marron,/review/barrel-aged-palo-santo-marron
"Very sweet up front. Chocolate, caramel, and dark-fruit sweetness. The finish is medium sweet, but not cloying. A touch of bourbon corn richness. Some nice vanilla notes from the barrel on the finish.",Avery Raspberry Truffale,/review/raspberry-truffale
"Soft dark fruit from the malt pairs nicely with the fruit additions. Great balance on the finish. The lingering malt sweetness is cut by the tart character, and there’s a bit of an edgy bite that cleans things up. Lingering woodsy astringency adds some funk but isn’t overdone.",Jolly Pumpkin La Roja with Boysenberry & Guava,/review/la-roja-with-boysenberry-and-guava
Overripe juicy and sweet peach with a restrained tartness/sourness. Slight funk. Well-balanced wild characteristics. Neutral oak tannins that give a slightly astringent finish. Slightly solvent. Restrained sourness complements the fresh fruit.,Atom Brewing Peach Sour,/review/peach-sour
"Lots of wild, mixed-fermentation flavors and a touch of musty complex earthiness mix well with the earthy and herbal hops flavor. Wood astringency is a bit intense, stone fruit and pear, moderate-high sour citrus pith. Bitterness lingers in the finish. The oak overshadows some of the more subtle contributions of malt, wild fermentation.",The Rare Barrel The Search,/review/the-search
"Mild sweetness. Fruity malt character is chocolate, caramel, and a little roast. Warming alcoholic finish. Wood cuts the sweetness somewhat. Some cherry, grape, and plum mix with a wild-hops flavor that adds a metallic note.",Against the Grain Gnight Ryder,/review/gnight-ryder
"Rich vinous cherry character, reminiscent of a semisweet red wine. Some oxidation that pairs well with the oak-barrel character. Finish is lightly tart, juicy cherry character. Comes across a bit flat despite a significant head initially.”",LambickX Oude Kriek 2013-2015,/review/oude-kriek-2013-2015
"Cherry flavor is relatively restrained compared to the aroma. There’s a nice underlying melanoidin malt sweetness with hints of dried fruit, and this pairs nicely with the pie-cherry sweetness. The sourness balances well. Light hops bitterness somewhat balances the sweetness.”",Rodenbach Alexander,/review/alexander
"Milk chocolate, coconut, coffee, and biscuit with toffee. There’s a noticeable vanilla character as well. Intensely sweet up front and still quite sweet in the finish, but the coconut lingers into the aftertaste nicely.”",Perrin No Rules,/review/no-rules
"Baking chocolate, tons of roast, and a bit of smoke. Nice lingering dark-fruit sweetness, accentuated with hints of port character from the barrel. Nice body, but it still finishes moderately dry with a pleasant fortified wine booziness.",Melvin Barrel-aged Ruckus,/review/barrel-aged-ruckus
"Semisweet bitter chocolate is the dominant character. An ashy roast note from the nose is still present and leaves a lingering tongue-smacking chalky feel. The finish is rich and not overly sweet, and the bourbon and wood character add a nice underlying warmth.",Burial Beer Seasoned Skillet,/review/seasoned-skillet
"Chocolate, slight vanilla, slight caramel, boozy warmth. Slight coffee. The finish comes across a bit thin, which leaves a lingering tannic astringency.”",Central Waters Peruvian Morning,/review/peruvian-morning
"Tart and dry. Lots of Brettanymyces funk (barnyard, musty, leather). Medium assertive sourness complements the fruity esters (pear, green apple). Slight aged-hops bitterness melds with wood tannins. Finishes crisp and dry. Some noticeable carbonic bite, which may be accentuating the dry finish.",LambickX Private Domain 2014-2016,/review/private-domain-2014-2016
"Tart dark fruit, not much stout/roast character. The musty character carries through from the nose. Very sweet and very boozy, but the booze helps balance the sweetness. Finish is tannic.",The Bruery Black Tuesday Port (2017),/review/black-tuesday-port-2017
Very juicy hops flavor with a mix of tropical and citrus. Moderately low sweetness with moderately high sour that fades into a dry finish. The body supports the beer with a malt character that seems a bit toothier than others in the category. Light Brett funk and tart. Lingering aftertaste of sweet fruit balanced with light tartness. Acidity is masterful placed to accentuate the fruit flavors from the hops.,Wiley Roots Galaxy DH Funk Yo Couch,/review/galaxy-dh-funk-yo-couch
"Cinnamon, chocolate, raisins, plum, and notes of sweet coconut all dance around in this beer. It is sweet, but not too sweet. Oak and bourbon with hints of vanilla also are present. The complex flavor carries through to the finish with no one flavor is overpowering.",The Lost Abbey Number of the Beast Coconut Edition,/review/number-of-the-beast-coconut-edition
The flavor is bigger than the aroma with more vanilla. It comes together like a peach pie. Moderate sweetness that fades into a finish where there’s a bit of spice from the oak tannins and alcohol. A light Brett characteristic in the middle is super interesting and has a touch of horse blanket.,Deep Ellum Wealth & Taste,/review/wealth-and-taste
"Pepper, orange, banana, clove, bubblegum, grainy malt, balanced, smooth finish that’s a bit on the sweeter side for the style, but certainly not sweet. Aftertaste of spice lingers pleasantly.",WeldWerks Saison D'Amitie,/review/saison-damitie
Lemon tartness and wheat notes followed by moderate barnyard funk. Finishes with lots of light sweet fruit flavors. Has a hint of sour on the back end.,Jester King Saison Americaine,/review/saison-americaine
"Nice light sweetness. Notes of vanilla, slight oak, and bourbon hit up front. Sweetness is added with honey and caramel. A little chocolate. Plum, prune, and raisin follow. Finishes sweet with some alcohol heat.",Brewery Vivant Wizard Burial Ground 2017,/review/wizard-burial-ground-2017
"Delicate and bright. There is a light sweetness that carries throughout the taste, then fades into low bitterness and low acidity. Citrus, perfume, and spice with bready malt. Definite Brett character, but enough residual malt that it’s a nice accent. Well-balanced.",pFriem Sauv Blanc Golden Ale,/review/sauv-blanc-golden-ale
Good flavor of tart lemon without the bracing acidity of others in the category. Light fruity hops. Very dry finish. Subtle funk. Good malt character that doesn’t get lost under the fruit notes from the fermentation and hops. Light lemon crispness with the right balance of complexity and acidity.,Burial Beer Jealousy and Murder,/review/jealousy-and-murder
"Classic peppery phenolics. Tart and pleasant hibiscus. Dry, yet subtly sweet, grape flavors. Everything is well-balanced and works well together. Dry, but not harsh finish with a low bitterness and low sour.",Ommegang Saison Rose,/review/saison-rose
"Bright lemon and Lacto presence is balanced by a tannic and earthy presence. Good attenuation and carbonation contribute to a classic Belgian digestibility. Brett funk is present, and it’s not just a Lacto bomb. Complex. Lemonhead candy with restrained sweetness.",Little Fish Brewing Petit Poisson,/review/petit-poisson
"Brett funk helps to balance the beer without giving phenols. Lots of lemon. Very creamy. A fair amount of lacto sourness. A very strong white-wine character gives the impression that this beer might be made with grapes, although it is not.",Creature Comforts Arcadiana,/review/arcadiana
"More citrus, herbal, and grassy with a bit of bready malt in the finish. Peppery phenols. Moderate low sweetness with low bitterness and a nice dry finish with a bit of hops bitterness that’s not overpowering. Refreshing.",Societe The Harlot,/review/the-harlot
"Very much apple pie still. Moderately low sweetness into moderately high acidity that fades into a dry but light boozy finish. Caramel malt, aged/earthy hops. Slight funk/tartness.",Saint Benjamin De Cave,/review/de-cave
"Bucket o’ melon, orange, peach, bready malt, spicy and drying alcohol, bone-dry finish assisted by the alcohol. Spicy pepper phenolics. Moderately low sweetness with moderate bitterness.",KC Bier Co. Der Bauer,/review/der-bauer
"Lemon, passion fruit, cherry pie. Pleasant tartness and an herbal hops finish. Low sweetness into high acidity works nicely with the juicy flavors and aromas. Lingering lactic acidity on the back of the tongue. The hops meld into what you expect from an acidic beer—round citrus with distinct but mellow lemon-lime notes.",Casey Dry-Hopped Saison (Galaxy),/review/dry-hopped-saison-galaxy
"Big esters: banana dominates, but some pear, apple, white grape. Spiciness is a mix of peppery phenol and alcohol warmth. Medium tartness. Malt notes of honey, biscuit, and toast. Sweet, but not too sweet, and it slowly fades into a moderately dry finish.",Cape May Devil's Reach,/review/devils-reach
"White pepper, peach, subtle passion fruit, and lemon zest. Low bitterness, light body, and high drinkability. Moderately low sweetness with a dry finish.",Worthy Brewing Farm Out Passion Fruit Saision,/review/farm-out-passion-fruit-saision
"Strawberry, raspberry, lemon, bitter raisins, slight green apple/pear. Underlying spicy/pepper phenols. Tart and funky. Low sweetness with moderate acidity. Some barnyard funk. Mild acidity. Woody hops.",Surly Brewing Misanthrope,/review/misanthrope
"There’s still white grape, pepper, and a touch of bready, but more floral in the flavor, specifically iris. Very low sweetness into a moderately bitter dry finish that lingers a bit. Oniony, spicy hops, orange, and pineapple, spicy alcohol, light bready malt.",Outer Range Brewing Final Summit,/review/final-summit
"More citrus and tropical in the flavor. Slight leather. Lightly sour, earthy, fresh. Low hops bitterness.",Monkish Brewing Interstellar Hitchhiker,/review/interstellar-hitchhiker
"Sweet and tart up front with notes of tart cherries. The cherries add complexity to the deep malt sweetness and carry through the taste. Behind the tart cherries are notes of cocoa, raisins, and plums. Honey. Moderate alcohol warmth.",Troegs Mad Elf Grand Cru,/review/mad-elf-grand-cru
"Malt body is full with chocolate, toast, and a little caramel. Prunes, dates, and raisins add to the flavor. Cinnamon and clove notes come forward. Root beer–like spiciness in the middle of the sip with a medium alcohol warming toward the end. The flavor is rich, and the rich character carries through to the finish. Alcohol warmth is high. Carbonation is nice.",The Bottle House There is no Quad,/review/there-is-no-quad
"Sweet with fruit notes of orange, white grape, and pear. Then some pepper herbal notes behind that. Some toasty biscuit notes come through. Finishes slightly sweet but still a bit dry. Medium carbonation at the end gives it a vibrant finish.",Surly Brewing Cynic,/review/cynic
"More apricot, caramel, and vanilla. Like eating a tart apricot and continuing to chew on the skins. Low earthy funk, some wood from the Brett, clean barn. Low sweetness with moderate high acidity. Finish lingers in the back of the throat.",Standard Brewing Time Crystals #1,/review/time-crystals-1
The orange citrus comes out more in the flavor with honeyed cracker after. A moderate sweetness up front with a moderate bitterness after. Slightly spiced hops character. The beer is light overall without being watery.,Ritual Brewing Monk's Lunch,/review/monks-lunch
"Foreground is a light spicy saison character: earthy, herbal, lemon, stone fruit, grainy malt, spicy phenolics of clove and pepper. Hops come through as a citrus background. Finishes very dry and crisp.",Perennial Artisan Ales On y Va,/review/on-y-va
" Balance between citrus character and some spicy herbal notes. Fruit comes through as orange, lemon, a bit of pear, and white grape. Herbal notes add a bit of spice. Some toast. Slight bitterness, but not overpowering, and balanced with the taste. Nice dry finish and medium-high carbonation.",Hardywood Park Hardywood Singel,/review/hardywood-singel
,Aslan Brewing Justice Temple,/review/justice-temple
"Pear, apple, slight banana fruity esters that come across somewhat sweet. Some pepper and clove phenolics. Subtle earthy/noble hops flavors. Finishes fairly dry. Noticeable alcoholic warmth. Complex mélange of spice complements the lightly toasted malt.",Silver City Brewery Luminous Libation,/review/luminous-libation
"More pear comes out in the flavor with bready malt. Moderate sweetness, with notes of honey and a bit of caramel, fades into the finish with moderately low bitterness and alcohol warmth to balance. Some nice complexity and smoothness. Vanilla builds in the lingering aftertaste.",Epic Brainless Belgian-style Golden Ale,/review/brainless-belgian-style-golden-ale
"Dry and funky. Earthy hops (onion, lemongrass) finish. Slight tartness. No sourness. Slight acidity. More dry/tart than sour, and that dryness is amplified by the significant bitterness. Light clean bready pale malt background. Nice wild Brett/woody character in the aftertaste.",Birds Fly South Rumblefish,/review/rumblefish
"Tart, funky raspberries! Nice initial fruit followed by a sharp sour finish. Dry finish with the lingering acidity as it slowly fades.",Side Project Raspberry Biere du Pays,/review/raspberry-biere-du-pays
"Dankness, passion fruit, pine, pithy orange, and lemon peel, touch of peppery phenolics. High bitterness is compounded by the expected bone-dry finish. Balance is all about the IBUs in this one. Some saison character is hiding under massive hops burst.",Hop Butcher Weirdsmobile,/review/weirdsmobile
"More caramel, toffee, vanilla, and oak. Dates, raisin, plum. Moderate sweetness into moderate bitterness with a fairly strong alcohol warmth. Some oak tannins in the finish as well. Finish is medium sweet, even with the alcohol to dry it out.",Hardywood Park Bourbon Barrel Cru,/review/bourbon-barrel-cru
"Peeeeeaches. Very low sweetness, although there’s an impression of sweetness because of the peach, with moderate bitterness. Peppery phenolics. Low sour. Dry overall finish.",Black Shirt Brewing Stringbender,/review/stringbender
"Big flavor with a ton of vanilla, then caramel, toffee, and dark fruit. Almost cake-like sweetness balanced a bit by moderate bitterness and alcohol, but some of the sweetness lingers. There’s moderate alcohol warmth.",Firestone Walker Stickee Monkee,/review/stickee-monkee
"Orange-juice, peach, spicy and slightly astringent alcohol. Clean, light, bready malt background. Moderately sweet with moderate bitter and sour in the finish. For a beer in this category, seems light on the Brett funk—a younger beer, perhaps?",Boulevard Saison Brett 2018,/review/saison-brett-2018
"Almost a vanilla-like sweetness up front followed by a strong Brett presence. Mint, lemon, and orange. Barnyard funk overpowers a lot of the other subtle flavors. Well-carbonated.",Funkwerks Saison d'Brett,/review/saison-dbrett
"Fig, raisin, and prune notes come through up front. Notes of chocolate. Lots of whiskey. The alcohol is high and carries through the taste. Strong oak character. Moderately strong sweetness throughout.",Three Taverns Heavy Bell,/review/heavy-bell
"First impression is alcohol. Some malt sweetness softens that a little and lets the banana/coconut come through, along with some strawberry, peach, and orange. Slightly spicy. Finish is dry.",Prison City Le Foof,/review/le-foof
"Low sweetness to begin, with a mix of bitterness and acidity in the finish. Earthy hops flavors (grassy, onion, green pepper). Minimal sourness/tartness and a somewhat thin body. Nice lingering fermentation complexity in the aftertaste.",Four Saints Brewing Oak Fermented Saison,/review/oak-fermented-saison
"High Brett funk leads. Sweet, light cream, phenols, fruits. A rustic malt character in the Bière de Garde vein. Adjuncts work in the favor of this beer, but are subtle and don’t immediately stand out as individual ingredients for a pleasant cohesion. Very dry and slightly herbal finish.",Burial Beer Peel Back the Dead Earth,/review/peel-back-the-dead-earth
"Lemon plays with polyphenols, but behind a graininess from the Pils malt and bubblegum from the wheat. Fairly dry finish with a bit of watermelon in the aftertaste.",Aslan Brewing Frances Farmer,/review/frances-farmer
The flavor mirrors the aroma. Creamy lemon candy with a distinct tartness that accentuates the lemon for a mildly puckering effect. Finishes dry despite the perceived sweetness up front. Tartness lingers on the tongue as the flavors fade.,The Rare Barrel Roads Diverge,/review/roads-diverge
"The flavor is much bigger than the aroma. Apple juice up front with light burnt honey character followed by dates, raisins, and a touch of vanilla. Light sweetness throughout that intertwines with a light alcohol warming at the end of the sip. Some clove notes. Finishes dry.",Seventh Son Brewing Baphomet,/review/baphomet
"Pineapple, citrus, orange. Sour. Tartness, low sweetness, no bitterness. Some smooth sweet malt.",Perennial Artisan Ales Merna,/review/merna
"Very sweet up front. Honey and a bit of caramel carry throughout the whole taste with citrus and spice in the background, but not balanced. Light hops bitterness toward the end of the sip but sweet overall.",High Water Brewing Rio d'Oro,/review/rio-doro
"Huge tropical bouquet at first—peach, mango, and coconut. Massive tropical and citrus notes with a leaning toward tropical in the middle. Very smooth body with some alcohol warmth and a hint of acidity in the finish that really sells the tropical-juice aroma and flavor. Everything we want in a hazy IPA. Flavor was off the charts.",TrimTab The Original 006,/review/the-original-006
"Like a mango-and-pineapple carbonated milkshake. Large creaminess that suggests the lactose of milkshake IPAs. Tropical fruit dominates with not much else showing up, but there’s a significant bitterness in the background that keeps it from being a cloying experience. A classic NEIPA juice bomb.",Burial Beer Hawkbill,/review/hawkbill
Strawberry shortcake and dank. A nice pine note and the dankness is more reserved and in line with more fruity strains. Malt is a nice support to the hops bitterness.,Tree House Bright,/review/bright
"Dry and light but not too astringent. Hops flavor is crisp, emphasizing the citrus: lemon, lemon balm, and a bit of grapefruit. Definite bitterness, but balanced relative to the dryness. Lemon and peach in the aftertaste. Not unlike a dry white wine or champagne.",Verboten Somebody to Love,/review/somebody-to-love
"The initial citrus-forward palate quickly gives way to a strong peach character. Malt is there to support only but is rich—hints of coffee and nuts—without being sweet. Carbonation is high and smooth. Great execution on that front. Some pine character on the smooth, medium-bitter finish, leaving a lingering impression of chocolate and citrus.",Melvin Brewing Chuck Morris,/review/chuck-morris
"Lush tropical-fruit character—grapefruit and mango paired with a rich, chewy body that doesn’t come across overly sweet, but still balances the hops character well. Bitter finish without being overwhelming. Lingering hints of grapefruit rind and ripe mango, with a soft mineral character. A bit of both worlds.",Hop Butcher The Jewels,/review/the-jewels
"Citrus, peach, and strawberry fruitiness up front, with a pleasantly bitter finish that has hints of lemon and pine. Fantastic chewy body—not overly sweet, but rich and full, with a lingering soft character that isn’t overdone. Slight hops burn on the finish.",Door County Punk Ass Cat,/review/punk-ass-cat
"Lemon and orange flavors immediately up front with a light hops bitterness. Lots of tropical fruit—mango, grapefruit, with a pithy earthiness. The body is rich and chewy, but it doesn’t come across overly slick or coating. Very light on the bitterness, however, with a touch of spiciness mixed in.",Cerebral Brewing DDH Cheat Code,/review/ddh-cheat-code
"Fruity Pebbles combination of flavors. Tropical-fruit notes of mango, papaya, coconut, and vanilla. Overall, a pretty juicy flavor profile. As it warms, the alcohol becomes more noticeable. Medium creaminess. Very clean. The minimal bitterness is just enough to enhance drinkability.",Alvarado Street Riot Punch,/review/riot-punch
"Chewy, hoppy mouthfeel with lemon and orange giving way to a grassy and fairly bitter finish that isn’t astringent, and leaves you wanting another sip. Some low-level spicy notes peek through.",Triple Crossing All Neon Like,/review/all-neon-like
"Prominent hops presence. Kale, grapefruit, orange peel, dank, and pine flavors. Pleasantly malty as it warms up. A very enjoyable West Coast IPA with something extra to make it stand out. Bright and crisp with just enough body to support the hops.",Three Weavers Brewing Expatriate,/review/brewing-expatriate
"Medium hops bitterness. Very crushable. Clean malt, balanced hops, resin, pine, light sweetness. Finishes nice and dry. The crisp mouthfeel makes it very drinkable.",Southern Tier Nu School IPA,/review/nu-school-ipa
"Citrus and peppercorn dominate. Some peach and wheat character present as the high carbonation fades on the palate. Rich body, chewy, sweet without being cloying. Medium lingering bitterness. Other tropical fruits peek in and out but are well blended. Slight alcoholic burn on the finish.",Resident Culture Fire Walk With Me,/review/fire-walk-with-me
"Complex citrus notes dominate in flavor as they do in aroma. Tropical fruits—lemon, orange peel, pineapple, and coconut—mixed with slightly grassy, onion, green-pepper flavors. Slight malt sweetness. Finishes bitter, but not super dry. Well-balanced and complex.",Pinthouse Pizza Electric Jellyfish,/review/electric-jellyfish
"Lovely flavor of tropical overripe pineapple and grapefruit. Really nice malt character with some nice hops bitterness that lingers but falls off rather quickly. Really nice sweetness that gives a good balance. What makes a killer beer—it’s all about the mouthfeel, and they nailed it.",Monday Night Brewing Space Lettuce,/review/space-lettuce
"Nice tropical-fruit blend: papaya, coconut, orange, light lemon. Grassy here, too. Mild astringency, and oncoming hops bitterness is a good balance to the sweetness of the initial taste. Finish is smooth and slightly sweet but fairly quick to fade.”",MadTree Brewing Heroes,/review/heroes
Resinous dank hops up front that lead into a low malty sweetness. Balanced decidedly toward sticky grapefruit-forward hops. Good amount of bittering hops bring the clean malt sweetness into balance.,Left Hand Brewing India Pale Ale,/review/india-pale-ale
"Assertive hops flavor and bitterness. Pine resin, some grapefruit, lemon, peach, apricot, and tangerine, plus an earthy foundation. Some of that mint is still here, along with some mild, pleasant esters (cherry, mostly). Perfect malt support. Fairly clean finish, but still a bit of hops flavor to appreciate.",Four Noses Whimsy,/review/whimsy
"Burst of hops up front. Clean toasted malt character plays supporting role for pine, orange, pineapple hops notes. Just the right amount of bitter, medium mineral finish, very dry.",Firestone Walker Luponic Distortion No. 009,/review/luponic-distortion-no-009
"Fairly dry despite the sweet aroma. Assertive bitterness that lingers on the tongue. Hops flavor is strong but much simpler: big spruce/pine with a little grapefruit in the aftertaste. There’s some hops astringency, too, with moderate esters. But the bitter hops are the center of attention.”",Crooked Stave IPA,/review/crookedstaveipa
"A welcoming earthy dankness with the juice of citrus (lemon, grapefruit) and tropical fruits (guava). Some peach. Flavors seem to complement each other to give an overall pleasant experience.",Siver City Ripe 'N Juicy,/review/ripe-n-juicy
"A nice balance of grainy sweetness with a hint of caramel and tropical-fruit hops flavors. There’s also a pleasant grapefruit hops flavor with a bit of pine to back it. Obvious bitterness, but not too harsh. Bitter aftertaste suggests another sip is a good idea.",New Realm Brewing Hoplandia,/review/hoplandia
"Big chewy blend of lemon, grapefruit, orange blossom, and tropical stone fruit with a healthy dose of spicy hops character to pull everything together. Bitterness balances the malt, but could use a little more edge.",Mantra Bhang Bhang,/review/bhang-bhang
"Guava juice and bananas, coconut, dried pineapple, orange. Sweet mid-palate but finishes off with just the right amount of bitterness. Sweetness dominates the mouth front to back.",Epic Brewing Lupulin Burst,/review/lupulin-burst
nteresting sugar profile of caramel and white sugar on top of the crazy tropical-fruit and spice blend. Notes of peach leather and strawberries with a strong pineapple component. Chewy as can be with a bit lower carbonation than the style is known for. The caramel comes out pretty strongly in the finish making it a bit weighty even for the ABV.”,Burial Beer To Streak Blood Across My Brow,/review/to-streak-blood-across-my-brow
Bright tropical flavor with a nice lemon and lemongrass note. Slight/low pine character travels right to the back and leaves a lingering bitterness. Really nice bready malt character. Second sip comes through as much more resin/dank in character. The slightly sweet finish is the only thing detracting from this beer.,Bale Breaker Fresh off the Farm,/review/fresh-off-the-farm
The lemon and herbal grass in the aroma come together as lemongrass in the flavor with just a touch of bready malt to support. Notes of blue cheese and strawberries. Nice lingering resin-like bitterness that lasts until the following sip. The finish is dry and a touch astringent.,Great Divide Heyday Modern IPA,/review/heyday-modern-ipa
Spicy alcohol notes actually work well here to blend with the rosy hops flavor. Bitterness is moderate but not overpowering. Smooth with the melon flavor dominating the profile.,Founders Sleeper Cell,/review/sleeper-cell
"Grapefruit is more pronounced in the flavor, but the pine is still there. Slight grassy or vegetal note. Bitterness is pronounced and a little pithy, but not harsh. Finish draws on both the flavor and bitterness of the hops. Fairly dry, but there’s a light candy sweetness in the mid-palate.",Foley Brothers Skeleton Crew,/review/skeleton-crew
"Similar to a white IPA in terms of spiciness, hints of white pepper and ginger that pair nicely with a backing tropical fruitiness. Guava character has a light sweetness that helps balance out the tartness a bit. Light body, dry and crisp on the finish.",Birds Fly South The Blueprint,/review/the-blueprint
"Rich tropical-fruit notes with a fair bit of sweetness. Peach, guava, pineapple, orange. Moderate bitterness and fairly dry finish.",Upland Brewing Juiced in Time,/review/juiced-in-time
More bitterness than one expects from the aroma. Juicy tropical hops are enhanced by a candy-like light malt sweetness and backed by a balanced bitterness. Very creamy.,Tired Hands Alien Church,/review/alien-church
"The pineapple slips right into the citrusy tropical-fruit flavor (orange, mango, papaya, coconut) of the hops. It’s a little distinctive because it’s riper than the usual pineapple character. It also adds a balancing tartness that goes well with the lemon/orange citrus. Could use more carbonation to accentuate some of the brighter flavors.",Moksa Brewing Pineapple SUPERFUZZ,/review/pineapple-superfuzz
"Soft and fluffy throughout. Low bitterness with a dry finish. Orange, lemon, lime, peach, and tangerine notes. Body is quite chewy. A mineral-like, chalky mouthfeel hangs out on the finish and magnifies the dryness of the attenuation.",Maplewood Son of Juice,/review/son-of-juice
"Pretty juicy (orange) and not a huge onion bomb that the aroma made it seem like it was going to be. Definitely has alcohol, but it isn’t overpowering. For a high-gravity IPA, this has a good amount of hops flavor (pine, resin, orange) and malt backbone. Balanced toward bitter as it should be, but all in all, it has a lot of other stuff going on.",Finback Brewery Four Year,/review/four-year
Rich mix of tropical-fruit sweetness and bready malt sweetness. Not particularly bitter—what you would expect from the style—leaving a soft lingering orange and strawberry fruitiness with a slight warming quality.,Corridor Brewery Squeezit,/review/squeezit
"Hops flavor is a blend of earthy and pine. Slightly sweet malt yields to clean fruity hops (peach, apricot), and it’s slightly dank. Finishes dry enough for the style and slightly bitter, but not as bitter as a traditional West Coast IPA.",Bootstrap Brewing Insane Rush IPA,/review/insane-rush-ipa
"Delicious fruit and floral-hops sweetness, with a back-end bitter wallop to remind you that you’re drinking a beer. The aftertaste is a combination of pure orange-blossom honey and slight astringent bitterness.”",The Veil Brewing whitemiata,/review/whitemiata
Really bight herbal and grassy note comes through on the flavor. The lemon like citrus comes through secondary. Slight bitterness but subdued. We really like the bettering charge. Finishes dry with a nice lemon/lemon grass note.,Telegraph West Swell Juicy IPA,/review/west-swell-juicy-ipa
"Lemony, but some grapefruit pith, too. Some resinous pine. Sharp bitterness locks onto the tongue and lasts forever. Some hops astringency. Fairly dry all the way through. Aggressive hops are accentuated by the sharp carbonic acid bite.",Surly Todd the Axe Man,/review/todd-the-axe-man
"More citrus and tropical in the flavor with pineapple and a bit of guava. Orange, tangerine, lemon. Also some bready malt. Moderately low sweetness into moderately high bitterness. There’s a bit of a hops burn as well.",Springdale Good N' You?,/review/good-n-you
"Highly bitter, but enough residual sweetness to make it balanced for the style. The orange highlights dance on top of the somewhat grassy and green-onion notes with the blend of herbal tones pulling things together. Malt is a secondary thought. Finish isn’t overly bitter with a slight sweetness on the very end.",Outer Range Pillow Stacks,/review/pillow-stacks
Initial impression: tangerine. Mid-palate: tangerine. Finish: tangerine. Aftertaste: wait for it…tangerine. A light herbal spicy character similar to white pepper appears as it starts to warm. Creates a nice complexity. Not a lot of beer flavor comes through.,New Holland Tangerine Space Machine,/review/tangerine-space-machine
"Up front citrus bitter, and then it mellows to other flavors (strawberry, lemon, lemongrass). Some spicy notes and grapefruit peel. Some distinct malty sweetness. Green pepper with some peppercorn spiciness and noticeable pine notes. Finishes slightly sweet and fairly dry. Fairly well-balanced.",Lord Hobo Consolation Prize,/review/consolation-prize
